model,layer,uniform_error,dist_aware_error,error_reduction_pct
LeNet-5,features.1,0.03768,0.02161,42.6
LeNet-5,features.4,0.03656,0.01517,58.5
LeNet-5,classifier.1,0.02758,0.01687,38.8
LeNet-5,classifier.3,0.03251,0.0148,54.5
LeNet-5,END_TO_END_ACCURACY,98.46,98.46,0.0
VGG-mini,features.1,0.04078,0.04329,-6.1
VGG-mini,features.3,0.03861,0.04488,-16.2
VGG-mini,features.6,0.03466,0.04849,-39.9
VGG-mini,features.8,0.0416,0.02162,48.0
VGG-mini,classifier.1,0.0162,0.02778,-71.5
VGG-mini,END_TO_END_ACCURACY,98.78,98.44,-0.34
ResNet-mini,stem.2,0.0413,0.02656,35.7
ResNet-mini,stage1.act1,0.04232,0.02991,29.3
ResNet-mini,stage1.act2,0.04381,0.02051,53.2
ResNet-mini,stage2.act1,0.03909,0.01631,58.3
ResNet-mini,stage2.act2,0.02074,0.02137,-3.0
ResNet-mini,END_TO_END_ACCURACY,47.66,76.46,28.8
